Category,Metric / Parameter,Level 0: Stock Baseline (Unpatched) (Cold),Level 0: Stock Baseline (Unpatched) (Warm),Level 1: +CL1 945890639 (Cold),Level 1: +CL1 945890639 (Warm),Level 2: +CL1-2 945890638 (Cold),Level 2: +CL1-2 945890638 (Warm),Level 3: +CL1-3 945923240 (Cold),Level 3: +CL1-3 945923240 (Warm),Level 4: +CL1-4 946059593 (Cold),Level 4: +CL1-4 946059593 (Warm),Level 5: +CL1-5 947247005 (Cold),Level 5: +CL1-5 947247005 (Warm),Level 6: +CL1-6 951055332 (Cold),Level 6: +CL1-6 951055332 (Warm),Level 7: +CL1-7 952358063 (Cold),Level 7: +CL1-7 952358063 (Warm),7-CL Ablation Progressive Gain Summary (Level 0 -> Level 7)
Cluster Spec,GKE Cluster Version,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000,v1.35.6-gke.1049000 (Consistent)
Cluster Spec,OS Image Type,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD,COS_CONTAINERD (Consistent)
Cluster Spec,Kernel Version,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+,6.12.85+ (Consistent)
Cluster Spec,Node Pool Sizing,3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM),3 x e2-standard-32 (96 vCPUs / 384 GB RAM)
Cluster Spec,Disk Type & Size,pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced / 300 GB + Secondary Boot Disk (swebench-500-preload),pd-balanced 300GB + Secondary Boot Disk (swebench-500-preload)
Cluster Spec,Container Runtime Class,gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor)
Cluster Spec,Image Streaming Enabled,true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming),true (--enable-image-streaming across all levels)
GCFS Host Daemon,GCFS Binary Configuration,Stock gcfsd-v2 (Unpatched / 52 MiB cache / GOGC=10),Stock gcfsd-v2 (Unpatched / 52 MiB cache / GOGC=10),Custom gcfsd + CL 945890639 (Network Download Concurrency & Read-Ahead Limits),Custom gcfsd + CL 945890639 (Network Download Concurrency & Read-Ahead Limits),Custom gcfsd + CLs 1-2 (Single-Flight Deduplication & Prefetch Leak Fix),Custom gcfsd + CLs 1-2 (Single-Flight Deduplication & Prefetch Leak Fix),Custom gcfsd + CLs 1-3 (High-Density FUSE Flags & Stat/xattr Cache),Custom gcfsd + CLs 1-3 (High-Density FUSE Flags & Stat/xattr Cache),Custom gcfsd + CLs 1-4 (Two-tier LayerStringArena & Slice Pre-allocation),Custom gcfsd + CLs 1-4 (Two-tier LayerStringArena & Slice Pre-allocation),Custom gcfsd + CLs 1-5 (5-min VFS Lookup Caching & 8GB Lockless LRU Ring Buffer),Custom gcfsd + CLs 1-5 (5-min VFS Lookup Caching & 8GB Lockless LRU Ring Buffer),Custom gcfsd + CLs 1-6 (NodeArena Dentry Slab Chunk Allocator),Custom gcfsd + CLs 1-6 (NodeArena Dentry Slab Chunk Allocator),Custom gcfsd + CLs 1-7 (Zero-Reflection VTProto Wire Parser),Custom gcfsd + CLs 1-7 (Zero-Reflection VTProto Wire Parser),Full 7-CL Progressive Stack Ablation
Fleet Configuration,Warmpool Strategy,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined,pipelined (Consistent)
Fleet Configuration,Tasks Evaluated,500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench tasks (500 unique Verified images),500 SWE-bench Verified images (100% full dataset)
