Category,Metric / Parameter,Burst 100 Pods - No Streaming (Full Pull),Burst 100 Pods - Stock + Image Streaming,Burst 100 Pods - Patched 4-CLs + Streaming,Burst 200 Pods - No Streaming (Full Pull),Burst 200 Pods - Stock + Image Streaming,Burst 200 Pods - Patched 4-CLs + Streaming,Burst 256 Pods - No Streaming (Full Pull),Burst 256 Pods - Stock + Image Streaming,Burst 256 Pods - Patched 4-CLs + Streaming,Burst 300 Pods - No Streaming (Full Pull),Burst 300 Pods - Stock + Image Streaming,Burst 300 Pods - Patched 4-CLs + Streaming,Burst 400 Pods - No Streaming (Full Pull),Burst 400 Pods - Stock + Image Streaming,Burst 400 Pods - Patched 4-CLs + Streaming,Burst 500 Pods - No Streaming (Full Pull),Burst 500 Pods - Stock + Image Streaming,Burst 500 Pods - Patched 4-CLs + Streaming
Cluster Spec,GKE Release & OS Image,v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD),v1.35.6-gke.1049000 (COS_CONTAINERD)
Cluster Spec,Target Node Hardware,1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced),1 x e2-standard-32 (96 vCPUs / 384 GB RAM / 300 GB pd-balanced)
Cluster Spec,Container Runtime Class,gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor),gvisor (--sandbox=type=gvisor)
GCFS Host Daemon,GCFS FUSE Daemon Mode,Standard Full Pull (Disabled gcfsd),Unpatched Official Stock gcfsd,Patched 4 CLs (Arena + PathMap + Coalesce + VFS),Standard Full Pull (Disabled gcfsd),Unpatched Official Stock gcfsd,Patched 4 CLs (Arena + PathMap + Coalesce + VFS),Standard Full Pull (Disabled gcfsd),Unpatched Official Stock gcfsd,Patched 4 CLs (Arena + PathMap + Coalesce + VFS),Standard Full Pull (Disabled gcfsd),Unpatched Official Stock gcfsd,Patched 4 CLs (Arena + PathMap + Coalesce + VFS),Standard Full Pull (Disabled gcfsd),Unpatched Official Stock gcfsd,Patched 4 CLs (Arena + PathMap + Coalesce + VFS),Standard Full Pull (Disabled gcfsd),Unpatched Official Stock gcfsd,Patched 4 CLs (Arena + PathMap + Coalesce + VFS)
Fleet Configuration,WarmPool Strategy,Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0),Direct Pull (USE_WARMPOOL=0)
Cluster Spec,Image Streaming Enabled,false (--enable-image-streaming=0),true (--enable-image-streaming=1),true (--enable-image-streaming=1),false (--enable-image-streaming=0),true (--enable-image-streaming=1),true (--enable-image-streaming=1),false (--enable-image-streaming=0),true (--enable-image-streaming=1),true (--enable-image-streaming=1),false (--enable-image-streaming=0),true (--enable-image-streaming=1),true (--enable-image-streaming=1),false (--enable-image-streaming=0),true (--enable-image-streaming=1),true (--enable-image-streaming=1),false (--enable-image-streaming=0),true (--enable-image-streaming=1),true (--enable-image-streaming=1)
Economics & Throughput,Node Hourly Cost ($/hr),$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr,$1.320 / hr
Economics & Throughput,Cost per Successful Evaluation ($/task),$0.00003,$0.00002,$0.00006,$0.00001,$0.00001,$0.00003,$0.00001,$0.00001,$0.00001,$0.00001,$0.00001,$0.00002,$0.00000,$0.00000,$0.00001,$0.00001,$0.00000,$0.00001
Economics & Throughput,Effective Throughput (tasks / min),805.4 / min,910.5 / min,343.8 / min,2464.1 / min,2142.9 / min,790.5 / min,2903.6 / min,3096.8 / min,1934.5 / min,3220.0 / min,3607.2 / min,1238.8 / min,4580.2 / min,4752.5 / min,1566.6 / min,2654.9 / min,5576.2 / min,2453.0 / min
Hardware Saturation,Host Memory Peak Utilization (%),14.8%,14.2%,12.4%,17.3%,16.5%,14.1%,26.8%,24.5%,18.2%,19.9%,18.8%,15.8%,22.4%,20.9%,17.2%,25.1%,22.8%,18.9%
